Year,Month,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Sample Type,Incident Date,Number of Pens Sampled,Average L. salmonis motiles per fish,Average L. salmonis females per fish,Average chalimus per fish,Average caligus per fish,Comments,Year Class
2011,November,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,Clayoquot Sound,Routine monitoring,4-Nov-11,3,0.60,0.20,0.18,1.37,,1
2011,November,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,7-Nov-11,3,0.12,0.05,0.10,0.05,,2
2011,November,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,19-Nov-11,3,0.02,0.00,0.13,0.03,,2
2011,November,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Discovery Islands,Follow-up,9-Nov-11,3,0.42,0.20,0.00,0.00,,2
2011,November,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,Routine monitoring,21-Nov-11,3,0.37,0.07,0.62,0.00,,1
2011,November,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Discovery Islands,Routine monitoring,2-Nov-11,3,0.15,0.12,0.00,0.00,,1
2011,November,388,Marine Harvest Canada,Brougham Point,50.37192,-125.37990,Discovery Islands,Post in-feed treatment,21-Nov-11,3,0.12,0.07,0.08,0.00,,2
2011,November,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,Routine monitoring,18-Oct-11,3,0.50,0.12,1.08,0.45,,2
2011,November,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,Discovery Islands,Routine monitoring,5-Nov-11,3,1.47,0.68,0.43,0.00,,2
2011,November,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.21030,Discovery Islands,Threshold exceedance; Pre-treatment,10-Nov-11,3,6.45,2.92,3.52,4.07,,1
2011,November,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Routine monitoring,17-Nov-11,3,1.70,0.47,4.30,2.58,,2
2011,November,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,Routine monitoring,9-Nov-11,3,1.63,0.72,4.43,1.93,,2
2011,November,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,November,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Post in-feed treatment,12-Nov-11,3,0.22,0.08,0.17,0.38,,1
2011,November,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Routine monitoring,26-Nov-11,3,0.27,0.07,0.40,0.18,,1
2011,November,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Post in-feed treatment,22-Nov-11,3,0.03,0.02,0.03,0.12,,2
2011,November,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Discovery Islands,Post in-feed treatment,18-Nov-11,3,0.27,0.08,0.02,0.38,,1
2011,November,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,Routine monitoring,12-Nov-11,3,1.10,0.53,0.03,0.02,,1
2011,November,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Nootka Sound,Routine monitoring,5-Nov-11,3,0.65,0.40,0.00,0.00,,1
2011,November,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,Nootka Sound,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,November,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,Routine monitoring,20-Nov-11,4,0.44,0.14,0.00,0.01,,1
2011,November,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,Routine monitoring,26-Nov-11,2,0.70,0.28,0.00,0.00,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2011,November,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Follow-up,19-Nov-11,3,2.55,0.92,0.08,0.00,,1
2011,November,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Routine monitoring,18-Nov-11,1,0.65,0.05,1.20,0.00,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens),1
2011,November,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,Port Hardy,Routine monitoring,8-Nov-11,3,0.40,0.07,7.45,0.72,,2
2011,November,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Threshold exceedance; Pre-treatment,6-Nov-11,3,3.15,1.23,0.92,0.90,,1
2011,November,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Pre-treatment; Follow-up,2-Nov-11,3,4.97,3.00,0.50,0.83,In-feed treatment,1
2011,November,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Follow-up,22-Nov-11,3,2.63,1.55,0.08,0.00,,1
2011,November,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.50040,Port Hardy,Threshold exceedance,14-Nov-11,3,3.20,1.60,0.42,0.25,Bi-weekly counts,1
2011,November,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Post in-feed treatment,21-Nov-11,3,0.47,0.13,4.83,0.22,,2
2011,November,1238,Marine Harvest Canada,Mahatta West,50.46914,-127.83577,Quatsino Sound,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,November,1237,Marine Harvest Canada,Monday Rocks,50.48562,-127.87618,Quatsino Sound,Post in-feed treatment,10-Nov-11,3,0.65,0.35,3.68,0.03,,1
2011,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,18-Nov-11,3,0.22,0.03,0.03,0.08,,2
2011,November,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Routine monitoring,17-Nov-11,3,0.13,0.00,0.00,0.00,,2
2011,November,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,November,746,Grieg Seafood BC,Site 13,49.62910,-123.84265,Sunshine Coast,Routine monitoring,19-Nov-11,2,0.03,0.03,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens),1
2011,December,1144,Mainstream Canada,Burdwood,50.79690,-126.49581,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,December,819,Mainstream Canada,Cecil Island,50.85123,-126.71498,Broughton Archipelago,Routine monitoring,21-Dec-11,2,0.58,0.28,0.08,0.15,,Brood
2011,December,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Routine monitoring,10-Dec-11,3,1.53,0.40,0.68,0.00,,2
2011,December,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Broughton Archipelago,Pre-treatment,21-Dec-11,3,2.25,1.08,3.07,1.93,In-feed treatment,2
2011,December,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,Broughton Archipelago,Pre-treatment,15-Dec-11,3,0.98,0.32,1.10,0.67,In-feed treatment,1
2011,December,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Broughton Archipelago,Follow-up,6-Dec-11,3,2.55,1.30,0.10,0.32,,1
2011,December,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Broughton Archipelago,Follow-up,20-Dec-11,3,1.30,0.65,0.07,0.02,,2
2011,December,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,Routine monitoring,11-Dec-11,3,0.17,0.08,1.15,0.00,,2
2011,December,1145,Marine Harvest Canada,Potts Bay,50.64920,-126.61820,Broughton Archipelago,Pre-treatment; Follow-up,11-Dec-11,1,6.50,3.85,1.40,0.10,In-feed treatment; Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,December,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Broughton Archipelago,Pre-treatment,28-Dec-11,3,0.02,0.00,0.28,0.00,In-feed treatment,1
2011,December,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,Routine monitoring,1-Dec-11,3,1.78,0.80,0.42,0.37,,1
2011,December,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,Routine monitoring,19-Dec-11,3,1.68,0.78,0.20,0.40,,1
2011,December,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Routine monitoring,2-Dec-11,3,0.32,0.03,0.12,0.27,,1
2011,December,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Routine monitoring,17-Dec-11,4,0.40,0.06,0.55,0.26,,1
2011,December,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Follow-up,n/a,0,,,,,Count(s) not required (harvesting),2
2011,December,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Follow-up,5-Dec-11,3,4.25,3.23,0.37,0.05,Bi-weekly counts,1
2011,December,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Follow-up,18-Dec-11,3,5.63,3.77,0.42,0.08,Bi-weekly counts,1
2011,December,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.41990,Central Coast,Routine monitoring,12-Nov-11,3,0.05,0.02,0.08,0.00,,1
2011,December,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Central Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,December,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Central Coast,Post in-feed treatment,11-Dec-11,3,2.48,1.60,0.00,0.02,,2
2011,December,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Central Coast,Routine monitoring,11-Dec-11,3,2.30,1.13,0.00,0.00,,2
2011,December,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,Central Coast,Follow-up,n/a,0,,,,,Count(s) not required (harvesting),2
2011,December,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Routine monitoring,1-Dec-11,3,0.00,0.00,0.03,0.07,,1
2011,December,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Routine monitoring,16-Dec-11,3,0.02,0.00,0.05,0.02,,2
2011,December,227,Mainstream Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,Post in-feed treatment,1-Dec-11,3,0.17,0.12,0.00,0.00,,1
2011,December,227,Mainstream Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,Routine monitoring,16-Dec-11,3,0.12,0.02,0.03,0.00,,1
2011,December,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Clayoquot Sound,Routine monitoring,3-Dec-11,3,0.07,0.02,0.00,0.08,,1
2011,December,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Clayoquot Sound,Routine monitoring,18-Dec-11,3,0.50,0.27,0.03,0.13,,2
2011,December,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Routine monitoring,n/a,0,,,,,Fallow,n/a
2011,December,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Routine monitoring,3-Dec-11,3,0.90,0.10,0.03,0.25,,1
2011,December,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Routine monitoring,18-Dec-11,3,0.38,0.15,1.07,0.62,,1
2011,December,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Routine monitoring,3-Dec-11,3,0.02,0.00,0.02,0.05,,1
2011,December,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,December,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,Routine monitoring,1-Dec-11,3,0.47,0.27,0.02,0.02,,2
2011,December,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,Routine monitoring,16-Dec-11,3,0.42,0.23,0.05,0.02,,2
2011,December,526,Mainstream Canada,Rant Point,49.25670,-125.84153,Clayoquot Sound,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,December,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Post in-feed treatment,3-Dec-11,3,0.20,0.17,0.00,0.00,,2
2011,December,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Routine monitoring,18-Dec-11,3,0.28,0.18,0.02,0.00,,2
2011,December,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,Clayoquot Sound,Routine monitoring,5-Dec-11,3,1.33,0.67,0.67,0.05,,1
2011,December,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,1-Dec-11,3,0.03,0.02,0.15,0.07,,2
2011,December,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,16-Dec-11,3,0.07,0.07,0.02,0.00,,2
2011,December,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Discovery Islands,Post in-feed treatment,7-Dec-11,3,0.15,0.05,0.28,0.03,,2
2011,December,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,Routine monitoring,20-Dec-11,3,1.35,0.27,0.27,0.02,,1
2011,December,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Discovery Islands,Routine monitoring,2-Dec-11,4,0.19,0.03,0.16,0.03,,1
2011,December,388,Marine Harvest Canada,Brougham Point,50.37192,-125.37990,Discovery Islands,Routine monitoring,17-Dec-11,3,0.10,0.02,1.00,1.00,,2
2011,December,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,Routine monitoring,18-Oct-11,3,0.50,0.12,1.08,0.45,,2
2011,December,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,Discovery Islands,Pre-treatment,17-Dec-11,3,2.42,1.18,0.20,0.00,In-feed treatment,2
2011,December,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.21030,Discovery Islands,Follow-up,7-Dec-11,3,2.13,0.77,0.37,0.27,,1
2011,December,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.21030,Discovery Islands,Follow-up,20-Dec-11,3,0.72,0.37,0.07,0.00,,1
2011,December,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Threshold exceedance,15-Dec-11,3,8.83,2.28,3.95,3.43,Harvest pending,2
2011,December,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Follow-up,29-Dec-11,3,7.62,5.15,0.37,1.35,Harvesting,2
2011,December,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,December,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Discovery Islands,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,December,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Routine monitoring,15-Dec-11,3,0.12,0.02,0.17,0.05,,1
2011,December,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Routine monitoring,9-Dec-11,3,0.30,0.07,1.60,0.83,,2
2011,December,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Routine monitoring,24-Dec-11,3,1.22,0.57,3.07,1.07,,2
2011,December,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Routine monitoring,22-Dec-11,3,1.48,0.15,1.87,0.68,,2
2011,December,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Discovery Islands,Routine monitoring,1-Dec-11,3,0.10,0.00,0.10,0.98,,1
2011,December,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Discovery Islands,Routine monitoring,18-Dec-11,3,0.22,0.05,0.22,1.37,,1
2011,December,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,Pre-treatment,17-Dec-11,3,2.50,1.18,0.05,0.00,In-feed treatment,2
2011,December,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Nootka Sound,Pre-treatment,19-Dec-11,3,0.63,0.33,0.08,0.00,In-feed treatment,1
2011,December,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,Nootka Sound,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,December,1700,Grieg Seafood BC,Muchalat South,49.64012,-126.32735,Nootka Sound,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,December,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,Pre-treatment,17-Dec-11,3,1.05,0.23,0.00,0.30,In-feed treatment,1
2011,December,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Follow-up,4-Dec-11,3,0.45,0.10,0.00,0.00,,1
2011,December,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Routine monitoring,6-Dec-11,3,1.12,0.23,0.25,0.20,,1
2011,December,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,Port Hardy,Routine monitoring,29-Dec-11,3,0.47,0.08,0.13,0.27,,2
2011,December,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Follow-up,n/a,0,,,,,Count(s) not required (<21 days post in-feed treatment),1
2011,December,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Follow-up,6-Dec-11,3,0.38,0.32,0.00,0.00,,1
2011,December,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.50040,Port Hardy,Follow-up,2-Dec-11,3,4.38,1.10,2.07,0.20,Management action planned (In-feed treatment),1
2011,December,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.50040,Port Hardy,Pre-treatment; Follow-up,16-Dec-11,3,4.98,2.17,1.37,1.27,In-feed treatment,1
2011,December,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Routine monitoring,21-Dec-11,3,0.95,0.25,1.57,0.58,,2
2011,December,1238,Marine Harvest Canada,Mahatta West,50.46914,-127.83577,Quatsino Sound,Routine monitoring,1-Dec-11,3,0.10,0.00,1.42,0.47,,1
2011,December,1237,Marine Harvest Canada,Monday Rocks,50.48562,-127.87618,Quatsino Sound,Routine monitoring,20-Dec-11,3,0.48,0.32,2.63,1.73,,1
2011,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,December,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Routine monitoring,20-Dec-11,3,0.15,0.03,0.00,0.00,,2
2011,December,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Routine monitoring,n/a,0,,,,,Fallow,n/a
2011,December,746,Grieg Seafood BC,Site 13,49.62910,-123.84265,Sunshine Coast,Routine monitoring,29-Dec-11,1,0.30,0.05,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens),1
2011,December,412,Grieg Seafood BC,Site 9,49.64612,-123.72455,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2012,January,1144,Mainstream Canada,Burdwood,50.79690,-126.49581,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2012,January,819,Mainstream Canada,Cecil Island,50.85123,-126.71498,Broughton Archipelago,Routine monitoring,7-Jan-12,3,1.17,0.55,0.37,0.25,,Brood
2012,January,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2012,January,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Broughton Archipelago,Follow-up,21-Jan-12,3,1.60,0.97,0.08,0.00,,2
2012,January,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,Broughton Archipelago,Follow-up,21-Jan-12,3,0.38,0.10,0.18,0.00,,2
2012,January,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Broughton Archipelago,Post in-feed treatment,3-Jan-12,3,0.20,0.12,0.03,0.00,,2
2012,January,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,Routine monitoring,7-Jan-12,3,0.87,0.07,0.53,0.00,,2
2012,January,1145,Marine Harvest Canada,Potts Bay,50.64920,-126.61820,Broughton Archipelago,Follow-up,n/a,0,,,,,Count(s) not required (<21 days post in-feed treatment),Brood
2012,January,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Broughton Archipelago,Post in-feed treatment,10-Jan-12,3,0.12,0.03,0.00,0.00,,1
2012,January,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Broughton Archipelago,Routine monitoring,30-Jan-12,5,0.19,0.02,0.24,0.12,,1
2012,January,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2012,January,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Routine monitoring,18-Jan-12,3,0.18,0.05,0.37,0.32,,1
2012,January,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.56810,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2012,January,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Follow-up,3-Jan-12,3,6.03,4.38,0.53,0.08,Harvesting,2
2012,January,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Follow-up,12-Jan-12,3,5.45,3.58,0.45,0.17,Harvesting,2
2012,January,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.41990,Central Coast,Routine monitoring,10-Jan-12,3,0.62,0.33,0.02,0.00,,2
2012,January,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Central Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2012,January,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Central Coast,Routine monitoring,11-Jan-12,3,2.30,1.63,0.00,0.00,,2
2012,January,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Central Coast,Routine monitoring,30-Jan-12,3,0.92,0.53,0.00,0.00,,2
2012,January,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,Central Coast,Routine monitoring,n/a,0,,,,,Fallow,n/a
2012,January,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Routine monitoring,1-Jan-12,3,0.02,0.02,0.00,0.15,,2
2012,January,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Routine monitoring,16-Jan-12,3,0.05,0.03,0.00,0.07,,2
2012,January,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Routine monitoring,29-Jan-12,3,0.05,0.03,0.00,0.05,,2
2012,January,227,Mainstream Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,Routine monitoring,1-Jan-12,3,0.15,0.05,0.05,0.12,,1
2012,January,227,Mainstream Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,Routine monitoring,16-Jan-12,3,0.22,0.10,0.53,0.00,,1
2012,January,227,Mainstream Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,Routine monitoring,26-Jan-12,3,0.07,0.00,1.27,0.35,,1
2012,January,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Clayoquot Sound,Routine monitoring,17-Jan-12,3,0.37,0.12,0.17,0.20,,2
2012,January,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Routine monitoring,1-Jan-12,3,1.15,0.35,0.30,0.43,,1
2012,January,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Routine monitoring,15-Jan-12,3,0.38,0.17,0.07,0.30,,1
2012,January,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Routine monitoring,2-Jan-12,3,0.00,0.00,0.13,0.15,,1
2012,January,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Routine monitoring,16-Jan-12,3,0.07,0.00,0.02,0.10,,1
2012,January,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2012,January,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,Routine monitoring,4-Jan-12,3,0.15,0.12,0.07,0.00,,2
2012,January,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,Routine monitoring,25-Jan-12,3,0.32,0.22,0.00,0.02,,2
2012,January,526,Mainstream Canada,Rant Point,49.25670,-125.84153,Clayoquot Sound,Routine monitoring,n/a,0,,,,,Fallow,n/a
2012,January,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Routine monitoring,4-Jan-12,3,0.17,0.10,0.00,0.00,,2
2012,January,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Routine monitoring,19-Jan-12,3,0.20,0.13,0.13,0.00,,2
2012,January,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,Clayoquot Sound,Routine monitoring,4-Jan-12,3,0.98,0.57,0.23,0.00,,1
2012,January,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,Clayoquot Sound,Routine monitoring,18-Jan-12,3,1.63,0.97,0.63,0.00,,1
2012,January,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,1-Jan-12,3,0.02,0.00,0.22,0.00,,2
2012,January,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,18-Jan-12,3,0.12,0.07,0.10,0.02,,2
2012,January,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Discovery Islands,Routine monitoring,11-Jan-12,3,0.23,0.13,0.20,0.10,,2
2012,January,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,Routine monitoring,17-Jan-12,3,1.52,0.57,0.73,0.00,,1
2012,January,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Discovery Islands,Routine monitoring,4-Jan-12,3,0.83,0.07,4.18,1.18,,1
2012,January,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Discovery Islands,Routine monitoring,14-Jan-12,4,1.21,0.06,3.58,2.00,,1
2012,January,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Discovery Islands,Routine monitoring,20-Jan-12,3,0.92,0.12,0.87,3.53,,1
2012,January,388,Marine Harvest Canada,Brougham Point,50.37192,-125.37990,Discovery Islands,Routine monitoring,16-Jan-12,3,0.13,0.03,0.57,0.93,,2
2012,January,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,Routine monitoring,n/a,0,,,,,Fallow,n/a
2012,January,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,Discovery Islands,Follow-up,14-Jan-12,3,0.85,0.47,0.05,0.00,,2
2012,January,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.21030,Discovery Islands,Post in-feed treatment,17-Jan-12,3,0.15,0.05,0.00,0.03,,1
2012,January,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Follow-up,11-Jan-12,3,11.25,7.60,3.98,3.47,Harvesting,2
2012,January,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
